Label,PF,WinRate,TotalPips,Trades
Month-End ONLY (Short),3.3236627379872954,71.42857142857143,256.2999999999954,35
Gotobi 15th ONLY,3.2810218978101338,69.44444444444444,250.00000000000136,36
Gotobi 20th ONLY,2.797800338409442,58.333333333333336,212.49999999999284,36
Weekday: Wed,2.571830985915574,61.904761904761905,111.60000000000502,21
ATR >= 120 pips,2.4538125629828906,67.79661016949152,432.7999999999992,59
Gotobi Only (No Monday),2.1651001950700324,61.702127659574465,656.9999999999933,141
Weekday: Tue,2.046043165467825,57.89473684210527,72.70000000000584,19
Weekday: Fri,2.0405033425087624,60.0,264.5999999999839,60
Gotobi 25th ONLY,1.8578124999999797,58.333333333333336,109.799999999997,36
Current + Month-End,1.71360516754138,59.7864768683274,883.7999999999925,281
Short 09:55->10:20,1.7072215645205249,58.867924528301884,776.5999999999912,265
Short 09:54->10:24,1.6936453241445888,57.35849056603774,865.6000000000197,265
Gotobi 30th ONLY,1.6633858267716606,63.63636363636363,101.10000000000082,33
ATR >= 30 pips,1.6287484510532915,58.935361216730044,761.1000000000029,263
Short 09:55->10:25,1.6286066584463679,58.867924528301884,764.7000000000012,265
Current EA,1.6286066584463679,58.867924528301884,764.7000000000012,265
Short 09:53->10:25,1.619229272090295,56.22641509433962,795.3999999999885,265
Short 09:54->10:25,1.609630990659935,56.60377358490566,796.3000000000028,265
ATR >= 50 pips,1.5817141895870293,58.67768595041323,691.6000000000113,242
ATR >= 70 pips,1.574109575219459,58.42105263157895,569.0000000000045,190
ATR >= 90 pips,1.5160082623289426,58.08823529411765,399.6999999999985,136
Gotobi 5th ONLY,1.5084376701143094,55.55555555555556,93.39999999999827,36
Weekday: Thu,1.479440069991199,60.0,54.7999999999962,20
ATR >= 100 pips,1.4607382550335677,57.57575757575758,274.60000000000326,99
Short 09:55->10:30,1.4589774933486777,56.22641509433962,638.3000000000029,265
Weekday: Mon,1.368956743002565,57.931034482758626,261.0000000000102,145
Short 09:56->10:25,1.233113179225455,54.71698113207547,310.59999999999576,265
Short 09:57->10:25,1.2303730294989834,50.943396226415096,295.1999999999961,265
Short 09:56->10:26,1.2174100409394586,52.83018867924528,302.7000000000078,265
Long (prev strong bearish >30p),1.102449120386366,54.761904761904766,29.70000000000698,42
Long Month-End ONLY,0.9590368980613043,54.285714285714285,-13.099999999994907,35
Gotobi 10th ONLY,0.7552083333332807,47.22222222222222,-51.70000000001244,36
Long ALL (09:00->09:55),0.6510883735629972,43.39622641509434,-883.1999999999889,265
Long (prev bearish),0.6444366689993074,45.63758389261745,-508.09999999998945,149
